Wavenumber,COMP1,COMP2,COMP3,COMP4
1612.027344,45788.84877902402,3034427858.6699376,186836821868.45242,300.88325157122216
1610.40625,45900.05699711611,3016187489.8529572,189496092510.30008,299.86120276329405
1608.785156,46895.10327508135,2990938290.3974853,191324386526.21768,293.45526614658195
1607.162109,48659.29936800218,2961683930.416583,192553262723.55695,283.4691784385517
1605.541016,51241.050523163816,2938904543.4270353,193885013252.66284,271.5539745707164
1603.917969,54163.642984028564,2905502470.063049,194291155754.8309,258.90434135819015
1602.294922,56918.6796496068,2846629541.9621315,192848781891.3224,247.49573967667908
1600.669922,59863.253937929934,2775296877.8010306,190427435910.1489,235.31228420486283
1599.046875,63026.7619057295,2698322109.8581743,187861849329.42004,221.38633421843747
1597.421875,67051.82915109996,2630860349.506809,185167659586.2397,203.2347875299855
1595.798828,72794.18020670018,2592470287.052408,182770447115.83835,177.25381567659085
1594.173828,78956.4570001436,2568181939.031464,180923504081.60092,148.7248521013742
1592.548828,84495.08491246516,2549659668.021271,179043038356.47675,122.84918888948857
1590.921875,88498.60956859942,2519639440.413884,179312803667.86118,101.34617150614373
1589.296875,89627.42690444761,2454852258.796825,183940500109.86533,87.62738749995044
1587.669922,88715.85374502718,2381499842.580562,190162347407.275,81.64655541750254
1586.042969,86827.64919941568,2316522485.371967,196662059391.64444,80.79382346884067
1584.417969,83712.56566043851,2287156309.4503045,199515936984.6145,90.51542225146837
1582.789063,79435.65301949038,2330534520.9264083,193772292892.14667,116.22227948601855
1581.162109,74640.18463659196,2409632198.0247583,184356570727.26028,149.68931669087456
1579.535156,69625.07282874583,2493184374.043579,174882948406.29715,184.8429551749257
1577.90625,65391.70148598014,2558043224.96577,169374731656.18842,214.55583745478378
1576.277344,63121.35662513348,2567307252.1483035,173728540163.9792,228.87900189290968
1574.648438,62083.17092386504,2545427767.043229,182946183397.55356,233.5825840050936
1573.019531,61545.9213756931,2518764916.97651,192448138537.65622,235.21871510654287
1571.388672,61438.41271625529,2488419704.939913,200061556735.76178,232.78749213662243
1569.759766,61386.59209068393,2465237772.9463325,201736725606.8083,227.72020237776147
1568.128906,61344.26408156044,2446213841.669774,199949340637.94238,221.45742862374973
1566.498047,61423.782681451106,2422980126.816019,197624166717.71384,213.48616554225214
1564.867188,61183.888522422625,2404774699.7263885,194569761530.2308,208.65345751540997
1563.236328,60190.823657187204,2400036274.7709537,191380900686.43927,212.22622544445116
1561.605469,58707.18900168701,2398859479.7859497,188296298148.7476,219.93447084938555
1559.972656,56955.743618548615,2392376672.6087255,185782707095.41714,228.44647209373758
1558.339844,55004.67494007991,2377884780.79715,183162337510.7401,235.34607607905582
1556.707031,53033.6801699379,2349569535.585641,178486456106.587,236.48585518956412
1555.074219,51013.756714004136,2305409065.4042587,175059440969.08682,234.449321361327
1553.441406,48877.576640276486,2248452334.3976507,177340402525.01877,232.31127361240377
1551.806641,46746.47344759013,2167099864.2212515,180508470968.30197,229.64874219628823
1550.173828,44725.61947321531,2048478533.083697,179448866615.84528,225.3948302510205
1548.539063,42767.21307602566,1909578104.7884903,177284468797.9649,219.0560903199568
1546.904297,40807.599864552074,1769485635.8695796,176268188541.12592,229.54414340015964
1545.269531,38908.16627643191,1628091712.5678492,175694562516.78366,212.871675773815
1543.632813,36964.39033551358,1509453533.2854133,175364394392.91565,210.5454328500869
1541.998047,35026.6805288242,1406203093.195561,174942311071.43466,205.57860589055954
1540.361328,33128.97321199326,1308088212.0640616,173922494399.0806,199.11962485354437
1538.724609,31233.24590280417,1231766679.6531243,171682390144.2859,196.83561853183758
1537.087891,29308.631327925574,1194680352.187136,167626737758.8656,203.3517368122144
1535.451172,27408.399389054874,1172911461.1649106,162443536754.45703,213.36207297181952
1533.814453,25568.709072391543,1145309314.5551667,156425582941.0582,223.66342538655522
1532.175781,23845.343909023035,1107886746.6131012,151297995089.69934,228.9224995027394
1530.537109,22295.343914263198,1051407800.4117929,149316815800.71588,222.02908630955227
1528.898438,20876.64700642697,982405331.5349493,149149716304.96774,209.22320567475714
1527.259766,19714.93093102275,909399989.7686241,149304909831.38812,195.22497251452228
1525.621094,18431.612233551525,835454434.9049724,150492719510.456,184.95545117520638
1523.980469,17270.70876339903,767609687.4757909,152934281623.68353,185.75584499091246
1522.341797,16190.357851051152,704595572.0932753,155909751583.1892,191.28249879515664
1520.701172,15274.587388605625,641489072.6286682,159349885811.86,196.27960503193916
1519.060547,14596.372289994253,588395034.9359087,161683624452.86768,196.89209010208347
1517.419922,14254.46345602796,554579483.8133711,161119277228.8603,186.70950914611174
1515.779297,14153.697923475924,529951914.11693513,159300327156.4581,171.43352027393513
1514.136719,14165.374727006949,510008032.688882,157254201229.59503,156.75790026898224
1512.494141,14325.161761801928,480568273.55018324,156576297330.4864,144.2530160432047
1510.851563,14646.164834211126,423758157.6335283,159566891314.631,137.66913611310895
1509.208984,14990.958106675427,356979892.06568044,163984404603.05475,135.23628458632834
1507.566406,15276.549808671152,292191019.1933302,167843977114.7654,133.63354639563528
1505.923828,15344.373847893725,245266759.08589053,170153164991.55756,135.6559042930649
1504.279297,14994.725870525852,238938137.4462663,169056959129.25516,143.40886366365586
1502.634766,14368.094574636485,252383254.17620778,165797152984.45068,153.12312716761775
1500.992188,13632.88773213366,267770177.55263817,162162759269.64868,162.92227749856443
1499.345703,12763.930435738925,274014196.4801323,157334482945.62216,167.9201670527457
1497.701172,11787.078085174378,251988695.91666237,150934738981.74548,161.90674987587596
1496.056641,10813.9353243056,216394303.59925836,144448998195.5518,150.17120353106068
1494.410156,9889.444802290976,184214444.4127599,138441735632.17838,137.45420557892302
1492.763672,9208.30495002203,155096084.48931786,135292664236.50708,126.1072787013286
1491.117188,8998.010890073301,134140975.98364541,137902748936.84753,120.48180623738365
1489.470703,9090.680544657524,124762682.75594261,143671824933.10223,118.61844310389834
1487.824219,9326.365945030173,125600744.30493285,150293767127.11093,117.99845412755803
1486.175781,9665.995777138547,149150830.60745367,156663092075.53,119.82696009548751
1484.529297,9997.06218917672,206625447.8950609,160616911929.78665,124.1643348480798
1482.880859,10341.085297723228,288750675.947787,163170776255.33243,131.0428620199385
1481.232422,10787.053948243376,401615813.0418437,166136159364.59097,141.6474598762206
1479.582031,11205.164955066342,507717971.8645088,167946761904.3897,153.2135705861348
1477.933594,11277.600595601587,608555958.9041831,166868857064.497,163.12698549372894
1476.283203,11577.714973161712,713079889.099351,165423658411.6799,174.07321281411285
1474.634766,11738.883437336122,828401454.0903783,167499301244.17136,185.91803140028355
1472.984375,12098.314786131892,983223730.9758706,175219267209.92374,205.13916972967738
1471.333984,12836.027559266753,1212898041.4996254,162822877963.65015,239.4222374656802
